,school,AVG(overallScore)
0,app-academy,4.59521699226251
1,ironhack,4.775620552664953
2,springboard,4.590322560795258
3,brainstation,4.5530944670450415
4,udacity,4.3923410371893405
5,practicum-bootcamp,4.762393148536356
